origin (2013 area unit name),destination,distance (kilometers),time (hours)
Acacia Bay,Acacia Bay,0.0,0.0
Acacia Bay,Allen Road,172.47,22.578611111111112
Acacia Bay,Amisfield,66.089,3.863611111111111
Acacia Bay,Aotea,68.402,3.5855555555555556
Acacia Bay,Arahiwi,130.402,5.533888888888889
Acacia Bay,Arapuni,92.554,3.855
Acacia Bay,Bader,145.244,5.379444444444444
Acacia Bay,Beerescourt,143.793,5.320833333333334
Acacia Bay,Broadlands,,
Acacia Bay,Bryant,147.959,5.711388888888889
Acacia Bay,Brymer,147.736,5.759444444444444
Acacia Bay,Buckland South,278.921,18.103055555555557
Acacia Bay,Burbush,157.954,6.116944444444444
Acacia Bay,Cambridge Central,120.689,4.448888888888889
Acacia Bay,Cambridge North,121.595,4.656666666666666
Acacia Bay,Cambridge West,121.119,4.570555555555556
Acacia Bay,Chartwell,143.91,5.1738888888888885
Acacia Bay,Chedworth,146.301,5.285277777777778
Acacia Bay,Clarkin,144.404,5.186388888888889
Acacia Bay,Claudelands,143.37,5.2155555555555555
Acacia Bay,Coromandel,362.447,22.264166666666668
Acacia Bay,Crawshaw,146.369,5.701388888888889
Acacia Bay,Dinsdale North,145.591,5.6369444444444445
Acacia Bay,Dinsdale South,145.333,5.680833333333333
Acacia Bay,Enderley,143.73,5.155277777777778
Acacia Bay,Eureka,163.784,5.699166666666667
Acacia Bay,Fairview Downs,144.917,5.3625
Acacia Bay,Fairy Springs,88.26,4.27
Acacia Bay,Fenton,86.624,4.101111111111111
Acacia Bay,Flagstaff,149.833,5.492222222222222
Acacia Bay,Fordlands,87.158,4.307222222222222
Acacia Bay,Frankton Junction,142.974,5.523333333333333
Acacia Bay,Glenholme East,85.329,4.05
Acacia Bay,Glenholme West,85.761,4.32
Acacia Bay,Glenview,147.279,5.3180555555555555
Acacia Bay,Golden Springs,52.686,3.1463888888888887
Acacia Bay,Gordonton,157.59,18.485555555555557
Acacia Bay,Grandview,145.443,5.683611111111111
Acacia Bay,Hamilton Central,141.187,4.933333333333334
Acacia Bay,Hamilton East,140.548,5.081111111111111
Acacia Bay,Hamilton Lake,143.837,5.2411111111111115
Acacia Bay,Hamurana,110.09,4.73
Acacia Bay,Hauraki Plains,,
Acacia Bay,Hautapu,124.904,4.399444444444445
Acacia Bay,Hikuai,447.265,25.019444444444446
Acacia Bay,Hillcrest,86.801,4.305
Acacia Bay,Hillcrest West,137.444,4.677777777777778
Acacia Bay,Hilltop,11.976,1.136111111111111
Acacia Bay,Hinuera,160.093,6.318333333333333
Acacia Bay,Horotiu,165.816,17.447222222222223
Acacia Bay,Horsham Downs,150.733,5.775
Acacia Bay,Huntington,148.966,5.693333333333333
Acacia Bay,Huntly East,176.682,5.645555555555555
Acacia Bay,Huntly West,173.11,6.015555555555555
Acacia Bay,Insoll,145.163,5.488333333333333
Acacia Bay,Islands-Thames-Coromandel District,404.166,22.995833333333334
Acacia Bay,Kaiaua,,
Acacia Bay,Kaingaroa Forest,,
Acacia Bay,Kainui,172.208,17.26638888888889
Acacia Bay,Kaipaki,135.032,4.556388888888889
Acacia Bay,Karapiro,114.285,4.151111111111111
Acacia Bay,Kawaha Point,88.192,4.418333333333333
Acacia Bay,Kawhia Community,,
Acacia Bay,Kerepehi,,
Acacia Bay,Kihikihi,170.764,22.642777777777777
Acacia Bay,Kihikihi Flat,172.692,23.02611111111111
Acacia Bay,Kinleith,70.563,3.584722222222222
Acacia Bay,Kinloch,25.135,0.7291666666666666
Acacia Bay,Koutu,86.531,4.286944444444444
Acacia Bay,Kuirau,83.817,3.732222222222222
Acacia Bay,Kuratau,,
Acacia Bay,Lake Cameron,152.173,5.399444444444445
Acacia Bay,Lake Ngaroto,172.228,22.570833333333333
Acacia Bay,Lakewood,4.936,0.97
Acacia Bay,Leamington East,122.576,4.385833333333333
Acacia Bay,Leamington West,128.071,4.854722222222223
Acacia Bay,Lichfield,85.188,3.7527777777777778
Acacia Bay,Lynmore,90.207,4.376944444444445
Acacia Bay,Maeroa,144.106,5.5183333333333335
Acacia Bay,Mahoenui,259.282,29.510833333333334
Acacia Bay,Mamaku,127.258,5.451666666666667
Acacia Bay,Mangakakahi,86.559,4.432777777777778
Acacia Bay,Mangakaretu,67.214,3.5483333333333333
Acacia Bay,Mangakino,,
Acacia Bay,Mangatawhiri,,
Acacia Bay,Maramarua,285.706,19.587777777777777
Acacia Bay,Marokopa,,
Acacia Bay,Marotiri,,
Acacia Bay,Matamata North,148.999,6.305
Acacia Bay,Matamata South,149.088,6.3341666666666665
Acacia Bay,Matangi,154.726,5.506944444444445
Acacia Bay,Matarawa,66.32,3.9191666666666665
Acacia Bay,Maunganamu,20.559,1.8252777777777778
Acacia Bay,Melville,145.287,5.223611111111111
Acacia Bay,Meremere,257.304,8.702222222222222
Acacia Bay,Moanataiari,314.706,20.964444444444446
Acacia Bay,Mokauiti,254.34,23.9175
Acacia Bay,Morrinsville East,155.022,7.303055555555556
Acacia Bay,Morrinsville West,154.774,7.251666666666667
Acacia Bay,Motuoapa,42.15,1.7258333333333333
Acacia Bay,Nawton,145.21,5.660277777777778
Acacia Bay,Naylor,139.065,4.964722222222222
Acacia Bay,Newstead,149.328,5.719722222222222
Acacia Bay,Ngahinapouri,163.284,18.560833333333335
Acacia Bay,Ngakuru,,
Acacia Bay,Ngapuna,,
Acacia Bay,Ngaruawahia,159.987,5.513888888888889
Acacia Bay,Ngatea,303.249,19.785833333333333
Acacia Bay,Ngongotaha North,101.135,4.655277777777778
Acacia Bay,Ngongotaha South,93.65,4.767777777777778
Acacia Bay,Nukuhau,6.417,0.6227777777777778
Acacia Bay,Ohaupo,156.629,22.216666666666665
Acacia Bay,Ohinemuri,254.966,10.067777777777778
Acacia Bay,Ohinemutu,84.592,3.899722222222222
Acacia Bay,Okauia,153.466,6.223055555555556
Acacia Bay,Omori,,
Acacia Bay,Onewhero,,
Acacia Bay,Opuawhanga,276.118,18.059166666666666
Acacia Bay,Oruanui,22.725,2.868333333333333
Acacia Bay,Otaua,289.112,29.19333333333333
Acacia Bay,Otorohanga,193.574,23.022222222222222
Acacia Bay,Otorohanga Rural East,,
Acacia Bay,Otorohanga Rural West,,
Acacia Bay,Owhata East,95.284,4.614444444444445
Acacia Bay,Owhata South,89.949,4.160277777777778
Acacia Bay,Owhata West,88.755,4.223611111111111
Acacia Bay,Paeroa,232.227,8.38111111111111
Acacia Bay,Paraonui,66.814,3.537777777777778
Acacia Bay,Parawai,314.399,20.614166666666666
Acacia Bay,Parkdale,65.98,3.850277777777778
Acacia Bay,Pauanui Beach,444.97,24.953611111111112
Acacia Bay,Peachgrove,143.562,5.261111111111111
Acacia Bay,Peacocke,,
Acacia Bay,Piopio,230.842,29.02166666666667
Acacia Bay,Pirongia,175.878,22.663333333333334
Acacia Bay,Poets Corner,88.808,4.251111111111111
Acacia Bay,Pokeno,248.751,9.020277777777778
Acacia Bay,Pokuru,181.354,22.708055555555557
Acacia Bay,Pomare,88.715,4.402777777777778
Acacia Bay,Porritt,145.331,5.472777777777778
Acacia Bay,Pukehangi North,90.495,4.488611111111111
Acacia Bay,Pukehangi South,93.607,4.610555555555556
Acacia Bay,Pukeoware,281.441,29.098333333333333
Acacia Bay,Pukerimu,125.452,4.4075
Acacia Bay,Pukete,149.932,5.788888888888889
Acacia Bay,Pukete West,148.701,5.904166666666667
Acacia Bay,Putaruru,85.372,3.83
Acacia Bay,Queenwood,147.525,5.2972222222222225
Acacia Bay,Raglan,,
Acacia Bay,Rangatira,7.771,0.9461111111111111
Acacia Bay,Rangatira Park,8.338,1.0380555555555555
Acacia Bay,Rangipo,,
Acacia Bay,Rangitaiki,,
Acacia Bay,Redoubt,274.478,18.054166666666667
Acacia Bay,Reporoa,51.561,3.1352777777777776
Acacia Bay,Richmond Heights,16.8,1.7638888888888888
Acacia Bay,Riverlea,137.739,4.728611111111111
Acacia Bay,Rotokauri,147.666,5.882777777777778
Acacia Bay,Rotongata,,
Acacia Bay,Rotoorangi,,
Acacia Bay,Rototuna,148.319,5.601388888888889
Acacia Bay,Rotowaro,208.454,8.035
Acacia Bay,Selwyn Heights,88.996,4.271388888888889
Acacia Bay,Silverdale,138.33,4.845555555555555
Acacia Bay,Springdale,,
Acacia Bay,Springfield,90.568,4.437222222222222
Acacia Bay,Stanley Park,65.245,3.7019444444444445
Acacia Bay,Strathmore,,
Acacia Bay,Sunnybrook,89.487,4.393888888888889
Acacia Bay,Swarbrick,143.84,5.573333333333333
Acacia Bay,Swayne,123.074,4.393888888888889
Acacia Bay,Sylvester,151.313,5.79
Acacia Bay,Taharoa,,
Acacia Bay,Taharua,,
Acacia Bay,Tahuroa,154.936,7.285833333333334
Acacia Bay,Tairua,424.386,24.65361111111111
Acacia Bay,Tamahere-Tauwhare,136.115,4.594444444444444
Acacia Bay,Tapapa,106.44,5.570277777777778
Acacia Bay,Tarawera,,
Acacia Bay,Tatua,33.092,3.003888888888889
Acacia Bay,Tauhara,10.631,0.8708333333333333
Acacia Bay,Taupiri Community,177.618,7.733611111111111
Acacia Bay,Taupo Central,8.074,0.6638888888888889
Acacia Bay,Taupo East,,
Acacia Bay,Te Akau,,
Acacia Bay,Te Aroha,213.119,8.025833333333333
Acacia Bay,Te Awamutu Central,167.494,22.663888888888888
Acacia Bay,Te Awamutu East,167.307,22.61916666666667
Acacia Bay,Te Awamutu South,167.887,22.750555555555554
Acacia Bay,Te Awamutu West,168.964,22.961111111111112
Acacia Bay,Te Kauwhata,227.611,8.398333333333333
Acacia Bay,Te Kawa,203.224,23.030277777777776
Acacia Bay,Te Kowhai,169.414,17.176388888888887
Acacia Bay,Te Kuiti,210.375,23.25777777777778
Acacia Bay,Te More,,
Acacia Bay,Te Motu Island,,
Acacia Bay,Te Pahu,,
Acacia Bay,Te Poi,,
Acacia Bay,Te Puru-Thornton Bay,322.263,21.00888888888889
Acacia Bay,Te Rahu,164.502,22.308333333333334
Acacia Bay,Te Rapa,150.874,5.763333333333334
Acacia Bay,Te Rapa North,166.974,17.170277777777777
Acacia Bay,Te Rerenga,373.1,22.211388888888887
Acacia Bay,Te Rore,170.584,22.445555555555554
Acacia Bay,Te Uku,,
Acacia Bay,Temple View,151.712,18.38361111111111
Acacia Bay,Tikitere,106.421,25.454722222222223
Acacia Bay,Tirau,92.985,3.895
Acacia Bay,Tiroa,,
Acacia Bay,Tokaanu,55.915,1.8394444444444444
Acacia Bay,Tokanui,184.73,22.73611111111111
Acacia Bay,Tokoroa Central,64.349,3.5069444444444446
Acacia Bay,Tongariro,,
Acacia Bay,Tuakau,272.542,18.060555555555556
Acacia Bay,Turangi,51.023,1.9672222222222222
Acacia Bay,Turua,316.678,19.955555555555556
Acacia Bay,University,143.988,5.318888888888889
Acacia Bay,Utuhina,85.865,4.3325
Acacia Bay,Victoria,84.451,3.871111111111111
Acacia Bay,Waerenga,239.01,8.633611111111112
Acacia Bay,Waharoa,153.988,6.224166666666667
Acacia Bay,Waihi,247.44,9.945277777777777
Acacia Bay,Waihou-Walton,,
Acacia Bay,Waikato Western Hills,168.236,5.415
Acacia Bay,Waipa Valley,,
Acacia Bay,Waipahihi,15.215,1.7358333333333333
Acacia Bay,Wairakei-Aratiatia,16.328,0.8425
Acacia Bay,Waitahanui,19.604,1.1880555555555556
Acacia Bay,Waitoa,,
Acacia Bay,Waiwhero,94.814,4.476666666666667
Acacia Bay,Wawa,73.373,3.588888888888889
Acacia Bay,Western Heights,90.102,4.233888888888889
Acacia Bay,Whaka,88.605,4.1675
Acacia Bay,Whangamata,,
Acacia Bay,Wharewaka,21.61,2.3669444444444445
Acacia Bay,Whatawhata,156.134,5.849722222222222
Acacia Bay,Whitianga,395.178,23.147222222222222
Acacia Bay,Whitikahu,,
Allen Road,Acacia Bay,208.886,19.41
Allen Road,Allen Road,0.0,0.0
Allen Road,Amisfield,109.627,2.8716666666666666
Allen Road,Aotea,111.94,2.593611111111111
Allen Road,Arahiwi,117.145,3.0419444444444443
Allen Road,Arapuni,96.715,2.826388888888889
Allen Road,Bader,39.086,1.8297222222222222
Allen Road,Beerescourt,34.6,1.4005555555555556
Allen Road,Broadlands,,
Allen Road,Bryant,38.703,1.4694444444444446
Allen Road,Brymer,38.48,1.5175
Allen Road,Buckland South,154.559,15.61111111111111
Allen Road,Burbush,41.189,2.123611111111111
Allen Road,Cambridge Central,53.495,2.373611111111111
Allen Road,Cambridge North,54.401,2.5813888888888887
Allen Road,Cambridge West,53.925,2.495277777777778
Allen Road,Chartwell,34.893,1.6475
Allen Road,Chedworth,36.28,1.6266666666666667
Allen Road,Clarkin,34.625,1.4272222222222222
Allen Road,Claudelands,33.348,1.493611111111111
Allen Road,Coromandel,173.104,6.555
Allen Road,Crawshaw,37.113,1.6927777777777777
Allen Road,Dinsdale North,36.335,1.395
Allen Road,Dinsdale South,36.077,1.4388888888888889
Allen Road,Enderley,35.016,1.6133333333333333
Allen Road,Eureka,51.458,1.8405555555555555
Allen Road,Fairview Downs,36.509,1.6405555555555555
Allen Road,Fairy Springs,131.507,15.053333333333333
Allen Road,Fenton,129.233,3.8475
Allen Road,Flagstaff,42.649,2.0044444444444443
Allen Road,Fordlands,130.868,15.315277777777778
Allen Road,Frankton Junction,33.718,1.281388888888889
Allen Road,Glenholme East,129.039,3.8080555555555557
Allen Road,Glenholme West,129.471,15.328055555555556
Allen Road,Glenview,38.691,1.6336111111111111
Allen Road,Golden Springs,166.563,7.654444444444445
Allen Road,Gordonton,46.277,1.7322222222222223
Allen Road,Grandview,37.137,1.556111111111111
Allen Road,Hamilton Central,31.931,1.041388888888889
Allen Road,Hamilton East,34.86,1.445
Allen Road,Hamilton Lake,34.581,1.5658333333333334
Allen Road,Hamurana,153.8,15.335277777777778
Allen Road,Hauraki Plains,,
Allen Road,Hautapu,57.71,2.3241666666666667
Allen Road,Hikuai,199.23,5.694166666666667
Allen Road,Hillcrest,130.511,15.313055555555556
Allen Road,Hillcrest West,37.233,1.6075
Allen Road,Hilltop,169.327,4.293055555555555
Allen Road,Hinuera,93.422,3.826388888888889
Allen Road,Horotiu,46.88,2.1394444444444445
Allen Road,Horsham Downs,41.477,1.9330555555555555
Allen Road,Huntington,40.533,1.7961111111111112
Allen Road,Huntly East,68.813,1.8202777777777779
Allen Road,Huntly West,65.061,2.2508333333333335
Allen Road,Insoll,35.907,1.5797222222222222
Allen Road,Islands-Thames-Coromandel District,235.939,6.633055555555556
Allen Road,Kaiaua,,
Allen Road,Kaingaroa Forest,,
Allen Road,Kainui,53.401,1.8811111111111112
Allen Road,Kaipaki,22.037,0.7613888888888889
Allen Road,Karapiro,63.182,2.4091666666666667
Allen Road,Kawaha Point,131.902,15.426388888888889
Allen Road,Kawhia Community,,
Allen Road,Kerepehi,,
Allen Road,Kihikihi,1.794,0.3638888888888889
Allen Road,Kihikihi Flat,4.769,0.9677777777777777
Allen Road,Kinleith,114.101,2.5927777777777776
Allen Road,Kinloch,229.843,22.237222222222222
Allen Road,Koutu,129.608,3.9161111111111113
Allen Road,Kuirau,127.527,3.4902777777777776
Allen Road,Kuratau,,
Allen Road,Lake Cameron,42.917,1.9908333333333332
Allen Road,Lake Ngaroto,11.77,0.4955555555555556
Allen Road,Lakewood,205.806,9.5275
Allen Road,Leamington East,55.382,2.3105555555555557
Allen Road,Leamington West,55.314,2.7794444444444446
Allen Road,Lichfield,102.783,2.4275
Allen Road,Lynmore,133.917,15.385
Allen Road,Maeroa,34.85,1.2763888888888888
Allen Road,Mahoenui,91.359,2.102222222222222
Allen Road,Mamaku,114.001,2.959722222222222
Allen Road,Mangakakahi,130.812,15.251944444444444
Allen Road,Mangakaretu,110.752,2.556388888888889
Allen Road,Mangakino,,
Allen Road,Mangatawhiri,,
Allen Road,Maramarua,139.519,2.6791666666666667
Allen Road,Marokopa,,
Allen Road,Marotiri,,
Allen Road,Matamata North,82.328,3.8130555555555556
Allen Road,Matamata South,82.417,3.8422222222222224
Allen Road,Matangi,45.47,2.065
Allen Road,Matarawa,109.858,2.9272222222222224
Allen Road,Maunganamu,178.0,4.583333333333333
Allen Road,Melville,36.087,1.6258333333333332
Allen Road,Meremere,110.924,2.1269444444444443
Allen Road,Moanataiari,166.385,4.855833333333333
Allen Road,Mokauiti,86.418,1.4255555555555555
Allen Road,Morrinsville East,59.377,2.227777777777778
Allen Road,Morrinsville West,59.129,2.176388888888889
Allen Road,Motuoapa,237.984,9.483888888888888
Allen Road,Nawton,35.954,1.4183333333333332
Allen Road,Naylor,35.359,1.5508333333333333
Allen Road,Newstead,37.843,2.033333333333333
Allen Road,Ngahinapouri,54.028,2.0355555555555553
Allen Road,Ngakuru,,
Allen Road,Ngapuna,134.133,15.697777777777778
Allen Road,Ngaruawahia,50.731,1.688611111111111
Allen Road,Ngatea,157.062,2.877222222222222
Allen Road,Ngongotaha North,144.845,15.240555555555556
Allen Road,Ngongotaha South,137.36,15.538333333333334
Allen Road,Nukuhau,204.402,9.238611111111112
Allen Road,Ohaupo,16.155,0.6580555555555555
Allen Road,Ohinemuri,212.455,4.575833333333334
Allen Road,Ohinemutu,128.302,3.6577777777777776
Allen Road,Okauia,86.795,3.7311111111111113
Allen Road,Omori,,
Allen Road,Onewhero,,
Allen Road,Opuawhanga,108.927,2.093611111111111
Allen Road,Oruanui,204.722,8.059722222222222
Allen Road,Otaua,179.644,7.951388888888889
Allen Road,Otorohanga,25.651,0.4469444444444444
Allen Road,Otorohanga Rural East,,
Allen Road,Otorohanga Rural West,,
Allen Road,Owhata East,138.994,15.6225
Allen Road,Owhata South,133.659,15.168333333333333
Allen Road,Owhata West,137.45,15.309722222222222
Allen Road,Paeroa,98.276,2.8891666666666667
Allen Road,Paraonui,110.352,2.5458333333333334
Allen Road,Parawai,163.465,3.5555555555555554
Allen Road,Parkdale,109.518,2.8583333333333334
Allen Road,Pauanui Beach,196.935,5.628333333333333
Allen Road,Peachgrove,35.571,1.6230555555555555
Allen Road,Peacocke,43.617,2.6155555555555554
Allen Road,Piopio,62.919,1.6130555555555555
Allen Road,Pirongia,15.42,0.5880555555555556
Allen Road,Poets Corner,132.518,15.259166666666667
Allen Road,Pokeno,102.371,2.445
Allen Road,Pokuru,15.711,0.5702777777777778
Allen Road,Pomare,132.425,15.410833333333333
Allen Road,Porritt,36.075,1.5641666666666667
Allen Road,Pukehangi North,134.205,15.496666666666666
Allen Road,Pukehangi South,137.317,15.618611111111111
Allen Road,Pukeoware,171.973,7.856388888888889
Allen Road,Pukerimu,58.258,2.332222222222222
Allen Road,Pukete,40.676,1.5469444444444445
Allen Road,Pukete West,41.973,1.7019444444444445
Allen Road,Putaruru,87.533,2.3047222222222223
Allen Road,Queenwood,36.506,1.6552777777777778
Allen Road,Raglan,,
Allen Road,Rangatira,212.479,22.454166666666666
Allen Road,Rangatira Park,205.501,9.488333333333333
Allen Road,Rangipo,,
Allen Road,Rangitaiki,,
Allen Road,Redoubt,150.116,15.562222222222223
Allen Road,Reporoa,165.438,7.6433333333333335
Allen Road,Richmond Heights,174.242,4.521944444444444
Allen Road,Riverlea,37.543,1.8466666666666667
Allen Road,Rotokauri,39.172,1.6980555555555557
Allen Road,Rotongata,,
Allen Road,Rotoorangi,,
Allen Road,Rototuna,37.947,1.7847222222222223
Allen Road,Rotowaro,73.809,2.5430555555555556
Allen Road,Selwyn Heights,132.706,15.279444444444444
Allen Road,Silverdale,38.237,1.6016666666666666
Allen Road,Springdale,,
Allen Road,Springfield,134.278,15.445277777777777
Allen Road,Stanley Park,108.783,2.71
Allen Road,Strathmore,110.548,3.06
Allen Road,Sunnybrook,133.197,15.401944444444444
Allen Road,Swarbrick,34.584,1.331388888888889
Allen Road,Swayne,55.88,2.318611111111111
Allen Road,Sylvester,42.355,2.2155555555555555
Allen Road,Taharoa,,
Allen Road,Taharua,,
Allen Road,Tahuroa,59.291,2.2105555555555556
Allen Road,Tairua,196.309,5.661666666666667
Allen Road,Tamahere-Tauwhare,52.71,2.1344444444444446
Allen Road,Tapapa,93.182,3.078333333333333
Allen Road,Tarawera,,
Allen Road,Tatua,151.8,3.0952777777777776
Allen Road,Tauhara,168.176,4.328888888888889
Allen Road,Taupiri Community,56.206,1.575
Allen Road,Taupo Central,204.135,9.163055555555555
Allen Road,Taupo East,175.464,8.016666666666667
Allen Road,Te Akau,,
Allen Road,Te Aroha,79.168,2.533888888888889
Allen Road,Te Awamutu Central,7.036,0.5886111111111111
Allen Road,Te Awamutu East,6.849,0.5438888888888889
Allen Road,Te Awamutu South,7.429,0.6752777777777778
Allen Road,Te Awamutu West,8.506,0.8858333333333334
Allen Road,Te Kauwhata,81.231,1.906388888888889
Allen Road,Te Kawa,35.301,0.455
Allen Road,Te Kowhai,60.158,2.101111111111111
Allen Road,Te Kuiti,42.453,0.7825
Allen Road,Te More,,
Allen Road,Te Motu Island,,
Allen Road,Te Pahu,,
Allen Road,Te Poi,97.341,19.495
Allen Road,Te Puru-Thornton Bay,136.846,5.233611111111111
Allen Road,Te Rahu,11.683,0.5111111111111111
Allen Road,Te Rapa,38.61,1.6869444444444444
Allen Road,Te Rapa North,41.628,1.695
Allen Road,Te Rerenga,222.166,19.719444444444445
Allen Road,Te Rore,30.11,0.8869444444444444
Allen Road,Te Uku,,
Allen Road,Temple View,42.456,1.825
Allen Road,Tikitere,149.128,4.212777777777778
Allen Road,Tirau,79.727,2.569722222222222
Allen Road,Tiroa,,
Allen Road,Tokaanu,251.75,9.680833333333334
Allen Road,Tokanui,,
Allen Road,Tokoroa Central,107.887,2.515
Allen Road,Tongariro,,
Allen Road,Tuakau,148.18,15.56861111111111
Allen Road,Turangi,246.858,9.80861111111111
Allen Road,Turua,168.357,4.213611111111111
Allen Road,University,36.28,1.5652777777777778
Allen Road,Utuhina,129.575,15.340555555555556
Allen Road,Victoria,128.161,3.629166666666667
Allen Road,Waerenga,92.63,2.1416666666666666
Allen Road,Waharoa,87.317,3.732222222222222
Allen Road,Waihi,204.929,4.453333333333333
Allen Road,Waihou-Walton,,
Allen Road,Waikato Western Hills,58.98,1.5897222222222223
Allen Road,Waipa Valley,,
Allen Road,Waipahihi,172.656,4.493888888888889
Allen Road,Wairakei-Aratiatia,204.157,8.041666666666666
Allen Road,Waitahanui,215.438,9.112777777777778
Allen Road,Waitoa,,
Allen Road,Waiwhero,138.524,15.484722222222222
Allen Road,Wawa,116.911,2.5969444444444445
Allen Road,Western Heights,133.812,15.241944444444444
Allen Road,Whaka,132.315,15.425555555555556
Allen Road,Whangamata,,
Allen Road,Wharewaka,179.051,5.125
Allen Road,Whatawhata,46.878,1.6077777777777778
Allen Road,Whitianga,244.244,20.655277777777776
Allen Road,Whitikahu,,
Amisfield,Acacia Bay,62.766,2.85
Amisfield,Allen Road,109.858,5.443333333333333
Amisfield,Amisfield,0.0,0.0
Amisfield,Aotea,3.045,0.6216666666666667
Amisfield,Arahiwi,68.304,2.4819444444444443
Amisfield,Arapuni,30.457,0.8030555555555555
Amisfield,Bader,83.147,2.3275
Amisfield,Beerescourt,81.696,2.2688888888888887
Amisfield,Broadlands,,
Amisfield,Bryant,85.862,2.6594444444444445
Amisfield,Brymer,85.639,2.7075
Amisfield,Buckland South,216.824,15.051111111111112
Amisfield,Burbush,95.857,3.065
Amisfield,Cambridge Central,58.592,1.3969444444444445
Amisfield,Cambridge North,59.498,1.6047222222222222
Amisfield,Cambridge West,59.022,1.5186111111111111
Amisfield,Chartwell,81.813,2.1219444444444444
Amisfield,Chedworth,84.204,2.2333333333333334
Amisfield,Clarkin,82.307,2.1344444444444446
Amisfield,Claudelands,81.273,2.163611111111111
Amisfield,Coromandel,212.352,5.745
Amisfield,Crawshaw,84.272,2.6494444444444443
Amisfield,Dinsdale North,83.494,2.585
Amisfield,Dinsdale South,83.236,2.628888888888889
Amisfield,Enderley,81.633,2.1033333333333335
Amisfield,Eureka,101.687,2.647222222222222
Amisfield,Fairview Downs,82.82,2.3105555555555557
Amisfield,Fairy Springs,82.667,14.493333333333334
Amisfield,Fenton,80.393,3.2875
Amisfield,Flagstaff,87.736,2.4402777777777778
Amisfield,Fordlands,82.028,14.755277777777778
Amisfield,Frankton Junction,80.877,2.471388888888889
Amisfield,Glenholme East,80.199,3.2480555555555557
Amisfield,Glenholme West,80.631,14.768055555555556
Amisfield,Glenview,85.182,2.266111111111111
Amisfield,Golden Springs,171.659,7.094444444444444
Amisfield,Gordonton,95.493,15.43361111111111
Amisfield,Grandview,83.346,2.631666666666667
Amisfield,Hamilton Central,79.09,1.881388888888889
Amisfield,Hamilton East,78.451,2.029166666666667
Amisfield,Hamilton Lake,81.74,2.1891666666666665
Amisfield,Hamurana,104.96,14.775277777777777
Amisfield,Hauraki Plains,,
Amisfield,Hautapu,62.807,1.3475
Amisfield,Hikuai,201.478,4.884166666666666
Amisfield,Hillcrest,81.671,14.753055555555555
Amisfield,Hillcrest West,75.347,1.6258333333333332
Amisfield,Hilltop,63.692,2.2330555555555556
Amisfield,Hinuera,97.996,3.266388888888889
Amisfield,Horotiu,103.719,14.395277777777778
Amisfield,Horsham Downs,88.636,2.7230555555555553
Amisfield,Huntington,86.869,2.641388888888889
Amisfield,Huntly East,114.584,2.593611111111111
Amisfield,Huntly West,111.012,2.963611111111111
Amisfield,Insoll,83.066,2.4363888888888887
Amisfield,Islands-Thames-Coromandel District,238.187,5.823055555555555
Amisfield,Kaiaua,,
Amisfield,Kaingaroa Forest,,
Amisfield,Kainui,110.111,14.214444444444444
Amisfield,Kaipaki,72.935,1.5044444444444445
Amisfield,Karapiro,52.188,1.0991666666666666
Amisfield,Kawaha Point,83.062,14.866388888888888
Amisfield,Kawhia Community,,
Amisfield,Kerepehi,,
Amisfield,Kihikihi,108.152,5.5075
Amisfield,Kihikihi Flat,110.08,5.890833333333333
Amisfield,Kinleith,2.75,0.5866666666666667
Amisfield,Kinloch,,
Amisfield,Koutu,80.768,3.3561111111111113
Amisfield,Kuirau,78.687,2.930277777777778
Amisfield,Kuratau,,
Amisfield,Lake Cameron,90.076,2.3475
Amisfield,Lake Ngaroto,109.616,5.435555555555555
Amisfield,Lakewood,156.965,8.9675
Amisfield,Leamington East,60.479,1.333888888888889
Amisfield,Leamington West,60.411,1.8027777777777778
Amisfield,Lichfield,23.091,0.7008333333333333
Amisfield,Lynmore,85.077,14.825
Amisfield,Maeroa,82.009,2.466388888888889
Amisfield,Mahoenui,196.67,7.458888888888889
Amisfield,Mamaku,65.16,2.399722222222222
Amisfield,Mangakakahi,81.972,14.691944444444445
Amisfield,Mangakaretu,4.929,1.0
Amisfield,Mangakino,,
Amisfield,Mangatawhiri,,
Amisfield,Maramarua,186.162,7.119166666666667
Amisfield,Marokopa,,
Amisfield,Marotiri,,
Amisfield,Matamata North,86.902,3.2530555555555556
Amisfield,Matamata South,86.991,3.2822222222222224
Amisfield,Matangi,92.629,2.455
Amisfield,Matarawa,3.669,0.7475
Amisfield,Maunganamu,72.365,2.5233333333333334
Amisfield,Melville,83.19,2.171666666666667
Amisfield,Meremere,157.568,2.983611111111111
Amisfield,Moanataiari,262.455,17.9125
Amisfield,Mokauiti,192.243,20.865555555555556
Amisfield,Morrinsville East,99.926,2.8344444444444443
Amisfield,Morrinsville West,99.678,2.7830555555555554
Amisfield,Motuoapa,189.144,8.92388888888889
Amisfield,Nawton,83.113,2.6083333333333334
Amisfield,Naylor,76.968,1.9127777777777777
Amisfield,Newstead,87.231,2.667777777777778
Amisfield,Ngahinapouri,101.187,15.508888888888889
Amisfield,Ngakuru,,
Amisfield,Ngapuna,,
Amisfield,Ngaruawahia,97.89,2.4619444444444443
Amisfield,Ngatea,203.705,7.317222222222222
Amisfield,Ngongotaha North,96.005,14.680555555555555
Amisfield,Ngongotaha South,88.52,14.978333333333333
Amisfield,Nukuhau,155.561,8.678611111111111
